,Method,Model,Input,LossFun,Layer,Neuron,Epoch,Loss
135,Coord,Linear,E,L1,5,92,Overfit,0.17901910627288106
136,Coord,1bRNN,E,MSE,4,92,Overfit,0.17902886639871773
137,Coord,1aRNN,E,MSE,5,60,Overfit,0.17906959577168768
138,Coord,StepLinear,E,3MSE,4,28,400,0.17908875526465662
139,Coord,1aRNN,E,MSE,2,60,Overfit,0.17911891734252663
140,Coord,1bRNN,E,MSE,5,92,Overfit,0.17933437532823404
141,Coord,1aRNN,E,MSE,2,76,Overfit,0.17958665550808844
142,Coord,EignModel,E,MSE,4,60,Overfit,0.1796279062885135
143,Coord,EignModel,E,MSE,2,44,400,0.17963981117185007
144,Coord,Linear,E,MSE,5,92,Overfit,0.17970678686091143
145,Coord,1aRNN,E,MSE,3,76,Overfit,0.18043171843150357
146,Coord,EignModel,E,MSE,2,28,400,0.18047532393851212
147,Coord,EignModel,E,MSE,2,60,400,0.1804899430397531
148,Coord,1aRNN,E,MSE,5,76,Overfit,0.18091546045898566
149,Coord,EignModel,E,MSE,3,92,Overfit,0.1812373592325089
150,Coord,EignModel,E,MSE,4,76,Overfit,0.1815933946094088
151,Coord,1aRNN,E,MSE,4,76,Overfit,0.18166364292855303
152,Coord,1aRNN,E,MSE,2,92,Overfit,0.1819159674012153
153,Coord,1aRNN,E,MSE,4,92,Overfit,0.18196910351725853
154,Coord,EignModel,E,MSE,5,92,Overfit,0.18205936261919795
155,Coord,StepLinear,E2,3MSE,3,18,300,0.18218089611077348
156,Coord,StepLinear,E2,3MSE,5,18,400,0.18238885267983812
157,Coord,1aRNN,E,MSE,3,92,Overfit,0.18270569457529195
158,Coord,EignModel,E,MSE,4,92,Overfit,0.18315306421348898
159,Coord,1aRNN,E,MSE,5,92,Overfit,0.18388422072443056
160,Coord,StepLinear,E,4MSE,5,28,300,0.20802858635111876
